Date,District,RF,T max ,T min,Avg_tem
5/1/2014,Colombo,0,30.1,25.3,27.7
5/2/2014,Colombo,5,32.4,25.7,29.05
5/3/2014,Colombo,0.3,29.4,25,27.2
5/4/2014,Colombo,12,29.5,25.5,27.5
5/5/2014,Colombo,11.9,30.6,25.5,28.05
5/6/2014,Colombo,3.9,30.4,24.4,27.4
5/7/2014,Colombo,8.4,30.6,25.1,27.85
5/8/2014,Colombo,1.8,31.6,23.9,27.75
5/9/2014,Colombo,0,31.3,25.7,28.5
5/10/2014,Colombo,0,31.8,26.4,29.1
5/11/2014,Colombo,0,31.9,26.2,29.05
5/12/2014,Colombo,0,32,26.3,29.15
5/13/2014,Colombo,0,32,27.1,29.55
5/14/2014,Colombo,0,32.2,28.4,30.3
5/15/2014,Colombo,0,32.3,28.5,30.4
5/16/2014,Colombo,3,32.7,28.8,30.75
5/17/2014,Colombo,0,31.9,28,29.95
5/18/2014,Colombo,0,32.3,27.6,29.95
5/19/2014,Colombo,6.8,32.1,26.5,29.3
5/20/2014,Colombo,6.3,32,26.8,29.4
5/21/2014,Colombo,5.6,30.8,26.8,28.8
5/22/2014,Colombo,0.2,31.9,26,28.95
5/23/2014,Colombo,0,32.4,28.1,30.25
5/24/2014,Colombo,6.9,32.3,28.9,30.6
5/25/2014,Colombo,0,32,26.3,29.15
5/26/2014,Colombo,0,32.1,26.6,29.35
5/27/2014,Colombo,0,32.1,27.9,30
5/28/2014,Colombo,8.8,31.8,27.3,29.55
5/29/2014,Colombo,2.2,31.4,25.1,28.25
5/30/2014,Colombo,0.4,31.8,26.6,29.2
5/31/2014,Colombo,0,32.1,27.7,29.9
6/1/2014,Colombo,102.8,31.1,27.4,29.25
6/2/2014,Colombo,29.5,28.7,23.6,26.15
6/3/2014,Colombo,3.6,28.4,23.9,26.15
6/4/2014,Colombo,2.7,30.9,25.1,28
6/5/2014,Colombo,0.7,31.3,27.5,29.4
6/6/2014,Colombo,0,31.6,28,29.8
6/7/2014,Colombo,0,31.8,28.1,29.95
6/8/2014,Colombo,8.8,31.1,28.3,29.7
6/9/2014,Colombo,0,30.5,27.4,28.95
6/10/2014,Colombo,5.4,31.7,27.5,29.6
6/11/2014,Colombo,7.2,30.7,25.5,28.1
6/12/2014,Colombo,29.1,30.5,26.3,28.4
6/13/2014,Colombo,0,30.9,23.8,27.35
6/14/2014,Colombo,0,31.3,27.9,29.6
6/15/2014,Colombo,0,30.8,28,29.4
6/16/2014,Colombo,0,31.3,27.8,29.55
6/17/2014,Colombo,0,31.2,27.4,29.3
6/18/2014,Colombo,0.3,31.1,28.1,29.6
6/19/2014,Colombo,0,31,28.1,29.55
6/20/2014,Colombo,0,31.5,27.6,29.55
6/21/2014,Colombo,0,31.7,28.3,30
6/22/2014,Colombo,0,31.7,28.1,29.9
6/23/2014,Colombo,0,31.5,28,29.75
6/24/2014,Colombo,0,31.4,28.3,29.85
6/25/2014,Colombo,0,31.5,28.2,29.85
6/26/2014,Colombo,0,31.3,27.9,29.6
6/27/2014,Colombo,4.6,31.7,27.7,29.7
6/28/2014,Colombo,3.9,30.8,26.7,28.75
6/29/2014,Colombo,9.2,31,27,29
6/30/2014,Colombo,30.9,29.4,25.4,27.4
7/1/2014,Colombo,8.6,29.7,24.4,27.05
7/2/2014,Colombo,0,30.6,25.1,27.85
7/3/2014,Colombo,0,30.7,28,29.35
7/4/2014,Colombo,0.1,30.8,27.6,29.2
7/5/2014,Colombo,0,30.5,27.3,28.9
7/6/2014,Colombo,0,30.6,27,28.8
7/7/2014,Colombo,0,30.6,27.3,28.95
7/8/2014,Colombo,0,30.9,27.3,29.1
7/9/2014,Colombo,0,30.8,27.2,29
7/10/2014,Colombo,5,29.9,27.3,28.6
